Variant ID;Chromosome;Position;Detection method;Data set;Variant type;Length (bp);TE;Frequency;P-value*;Effect+;Gene(s) in 2 Kb proximity;Gene(s) coordiantes;Position(s) respect the gene(s);Overlapping Related QTL in SNP-seek
SNP:5:5926765;5;5926765;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;6.52E-14;0.16733874;Os05g0196400 (Conserved hypothetical);chr05:5927515..5929945 (- strand);Downstream;No
SNP:5:5933527;5;5933527;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;8.96E-14;0.176711928;-;-;-;No
SNP:5:5938046;5;5938046;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;3.13E-13;0.158707737;-;-;-;No
DEL:5:5939687..5939756;5;5939687;GLM;SVs, SVs+SNPs;SV;-69;-;0.509;6.00357E-16;0.189951248;Os05g0196500 (OsJMJ703);chr05:5940163..5946854 (+ strand);Upstream;No
DEL:5:5946921..5946990;5;5946921;GLM;SVs, SVs+SNPs;SV;-69;-;0.509;6.00357E-16;0.189951248;Os05g0196500 (OsJMJ703);chr05:5940163..5946854 (+ strand);Downstream;No
DEL:5:5947495..5947602;5;5947495;GLM;SVs, SVs+SNPs;SV;-107;-;0.491;6.00357E-16;-0.189951248;Os05g0196500 (OsJMJ703);chr05:5940163..5946854 (+ strand);Downstream;No
SNP:5:5948122;5;5948122;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;9.2368E-14;-0.171715413;Os05g0196500 (OsJMJ703);chr05:5940163..5946854 (+ strand);Downstream;No
SNP:5:5953100;5;5953100;GLM;SNPs, SVs+SNPs;SNP;1;-;0.466;1.06635E-12;0.166163841;Os05g0196600 (OsACS3/OsACC3);chr05:5954551..5956291 (-strand);Downstream;No
SNP:5:5960469;5;5960469;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;1.03834E-12;0.167329587;-;-;-;No
SNP:5:5967394;5;5967394;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;5E-14;-0.166152395;Os05g0196700 (Conserved hypothetical);chr05:5964855..5966356 (+ strand);Downstream;No
SNP:5:5970512;5;5970512;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;1.06E-10;0.156064071;Os05g0196800 (OsDGAT);chr05:5971951..5978628 (+ strand);Upstream;No
SNP:5:5983546;5;5983546;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;5.82E-15;0.175747629;-;-;-;No
SNP:5:5985030;5;5985030;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;3.56248E-13;0.166903163;Os05g0197200 (OsGLP5-1);chr05:5986015..5986963 (+ strand);Upstream;No
SNP:5:5989509;5;5989509;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.4E-11;0.154300063;-;-;-;No
INS:5:5990661..5990661;5;5990661;GLM;SVs, SVs+SNPs;SV;54;-;0.491;6.00357E-16;-0.189951248;-;-;-;No
SNP:5:5992957;5;5992957;GLM, BLINK;SNPs, SVs+SNPs;SNP;1;-;0.497;3.28E-17;-0.161202682;-;-;-;No
SNP:5:6000219;5;6000219;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;1.17E-10;-0.149446763;Os05g0197300 (OsIQM4);chr05:5996776..6000601 (- strand);1st intron;No
DEL:5:6001741..6001988;5;6001741;GLM;SVs, SVs+SNPs;SV;-247;Os0017_Ditto;0.491;6.00357E-16;-0.189951248;Os05g0197300 (OsIQM4) ;chr05:5996776..6000601 (- strand);Upstream;No
SNP:5:6011171;5;6011171;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;8.84E-13;-0.159820489;-;-;-;No
DEL:5:6013464..6014334;5;6013464;GLM;SVs, SVs+SNPs;SV;-870;Os0716;0.577;5.82338E-09;0.126682153;-;-;-;No
SNP:5:6015328;5;6015328;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.23E-12;0.16441759;-;-;-;No
INS:5:6032655..6032655;5;6032655;GLM;SVs, SVs+SNPs;SV;66;-;0.491;6.00357E-16;-0.189951248;-;-;-;No
DEL:5:6033123..6040468;5;6033123;GLM;SVs, SVs+SNPs;SV;-7345;Os3414_INT;0.491;6.00357E-16;-0.189951248;-;-;-;No
SNP:5:6041082;5;6041082;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;1.17E-14;-0.14966023;-;-;-;No
DEL:5:6041385..6041433;5;6041385;GLM;SVs, SVs+SNPs;SV;-48;-;0.509;6.00357E-16;0.189951248;-;-;-;No
SNP:5:6045758;5;6045758;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;1.09291E-14;-0.177281503;Os05g0197900 (DUF 247);chr05:6046098..6048503 (+ strand);Upstream;No
SNP:5:6053473;5;6053473;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;1.59E-14;0.18155191;-;-;-;No
INS:5:6056324..6056324;5;6056324;GLM;SVs, SVs+SNPs;SV;2996;Os0365_LTR_Truncator;0.491;6.00357E-16;-0.189951248;Os05g0198100 (OsDUF247);chr05:6057365..6060278 (- strand);Downstream;No
SNP:5:6057700;5;6057700;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;1.23981E-11;-0.163013055;Os05g0198100 (DUF 247);chr05:6057365..6060278 (- strand);3' UTR;No
INS:5:6058720..6058720;5;6058720;GLM;SVs, SVs+SNPs;SV;495;Os0297;0.491;6.00357E-16;-0.189951248;Os05g0198100 (OsDUF247);chr05:6057365..6060278 (- strand);3' UTR;No
SNP:5:6068938;5;6068938;GLM;SNPs, SVs+SNPs;SNP;1;-;0.521;1.52597E-13;-0.171156173;-;-;-;No
SNP:5:6077711;5;6077711;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;3.06E-12;-0.145950572;-;-;-;No
SNP:5:6084123;5;6084123;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;4.17576E-11;-0.142883218;Os05g0198200 (OsGRX16);chr05:6085887..6087017 (+ strand);Upstream;No
SNP:5:6089814;5;6089814;GLM;SNPs, SVs+SNPs;SNP;1;-;0.521;1.79E-13;-0.183948055;Os05g0198400 (OsZIP7);chr05:6090801..6094068 (+ strand);Upstream;No
SNP:5:6095115;5;6095115;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;6.51815E-14;0.173287885;Os05g0198400 (OsZIP7);chr05:6090801..6094068 (+ strand);Downstream;No
SNP:5:6098263;5;6098263;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;8.31217E-12;0.163253499;-;-;-;No
INS:5:6099201..6099201;5;6099201;GLM;SVs, SVs+SNPs;SV;1356;Os0765;0.491;6.00357E-16;-0.189951248;-;-;-;No
SNP:5:6101183;5;6101183;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;8.17E-13;-0.179969441;-;-;-;No
SNP:5:6104240;5;6104240;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;3.48E-15;-0.17905891;-;-;-;No
DEL:5:6104857..6104927;5;6104857;GLM;SVs, SVs+SNPs;SV;-70;-;0.509;6.00357E-16;0.189951248;-;-;-;No
SNP:5:6109705;5;6109705;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;5.56E-11;-0.148629527;-;-;-;No
SNP:5:6128492;5;6128492;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;2.3E-10;-0.153890777;-;-;-;No
INS:5:6132407..6132407;5;6132407;GLM;SVs, SVs+SNPs;SV;236;Os3327;0.485;9.43326E-16;-0.185784224;-;-;-;No
INS:5:6133632..6133632;5;6133632;GLM;SVs, SVs+SNPs;SV;6108;-;0.485;9.43326E-16;-0.185784224;Os05g0198700 (similar to REX1);chr05:6135077..6136663 (+ strand);Upstream;No
SNP:5:6134274;5;6134274;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;2.73264E-10;-0.15440253;Os05g0198700 (Similar to REX1 DNA Repair family protein);chr05:6135077..6136663 (+ strand);Upstream;No
INS:5:6135708..6135708;5;6135708;GLM;SVs, SVs+SNPs;SV;41;-;0.485;9.43326E-16;-0.185784224;Os05g0198700 (similar to REX1);chr05:6135077..6136663 (+ strand);1st intron;No
DEL:5:6138276..6138327;5;6138276;GLM;SVs, SVs+SNPs;SV;-51;-;0.515;9.43326E-16;0.185784224;Os05g0198700 (similar to REX1);chr05:6135077..6136663 (+ strand);Downstream;No
SNP:5:6142038;5;6142038;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.37769E-11;-0.161986646;-;-;-;No
INS:5:6147959..6147959;5;6147959;GLM;SVs, SVs+SNPs;SV;41;-;0.485;9.43326E-16;-0.185784224;-;-;-;No
SNP:5:6151901;5;6151901;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;1.59835E-11;-0.17322448;-;-;-;No
SNP:5:6158623;5;6158623;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;2.38151E-12;-0.159506142;Os05g0198950 (Hypothetical);chr05:6157753..6158446 (- strand);Upstream;No
SNP:5:6160542;5;6160542;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;3.95E-11;-0.16002435;-;-;-;No
SNP:5:6163866;5;6163866;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.2916E-12;0.164613487;Os05g0199100 (Similar to NDR1/HIN1-Like protein 2);chr05:6165002..6166269 (- strand);Downstream;No
SNP:5:6167562;5;6167562;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;3.23E-13;0.167593651;Os05g0199100 (Similar to NDR1/HIN1-Like protein 2);chr05:6165002..6166269 (- strand);Upstream;No
DEL:5:6168909..6169423;5;6168909;GLM;SVs, SVs+SNPs;SV;-514;Os1020;0.485;5.58685E-11;0.155375229;-;-;-;No
SNP:5:6169839;5;6169839;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;6.94724E-12;0.14804955;-;-;-;No
SNP:5:6172642;5;6172642;GLM;SNPs, SVs+SNPs;SNP;1;-;0.515;4.88687E-13;0.164123467;-;-;-;No
SNP:5:6176123;5;6176123;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;6.94E-12;-0.139086003;-;-;-;No
SNP:5:6178323;5;6178323;GLM;SNPs, SVs+SNPs;SNP;1;-;0.528;7.19817E-13;0.167327905;-;-;-;No
INS:5:6184149..6184149;5;6184149;GLM;SVs, SVs+SNPs;SV;3104;Os0142_LTR;0.497;1.70854E-14;-0.179418725;-;-;-;No
SNP:5:6189359;5;6189359;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;1.59563E-10;0.153847204;Os05g0199500 (Glycosyl transferase, family 31 protein);chr05:6191144..6196093 (- strand);Downstream;No
SNP:5:6192722;5;6192722;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;4.05158E-12;0.152709728;Os05g0199500 (Glycosyl transferase, family 31 protein);chr05:6191144..6196093 (- strand);5th intron;No
SNP:5:6194873;5;6194873;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;5.11815E-09;0.134569373;Os05g0199500 (Glycosyl transferase, family 31 protein);chr05:6191144..6196093 (- strand);1st intron;No
DEL:5:6196119..6196162;5;6196119;GLM;SVs, SVs+SNPs;SV;-43;-;0.491;2.9137E-11;0.158706233;Os05g0199500 (Glycosyl transferase, family 31 protein);chr05:6191144..6196093 (- strand);Upstream;No
SNP:5:6203744;5;6203744;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;2.61186E-12;0.161708608;-;-;-;No
DEL:5:6205181..6205426;5;6205181;GLM;SVs, SVs+SNPs;SV;-245;Os0018_Wanderer;0.479;2.746E-12;0.168197565;Os05g0199800 (OsbHLH28);chr05:6206615..6208830 (+ strand);Upstream;No
SNP:5:6206566;5;6206566;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;4.9E-12;0.142932093;Os05g0199800 (OsbHLH028);chr05:6206615..6208830 (+ strand);Upstream;No
SNP:5:6209274;5;6209274;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;6.84804E-14;0.170098895;Os05g0199800 (OsbHLH028);chr05:6206615..6208830 (+ strand);Downstream;No
INS:5:6211841..6211841;5;6211841;GLM;SVs, SVs+SNPs;SV;11264;Os0014;0.491;1.70854E-14;-0.179418725;-;-;-;No
SNP:5:6212729;5;6212729;GLM;SVs+SNPs;SNP;1;-;0.503;1.82E-11;0.167441551;-;-;-;No
DEL:5:6218200..6218241;5;6218200;GLM;SVs+SNPs;SV;-41;-;0.479;1.51834E-07;0.110846905;-;-;-;No
DEL:5:6219047..6219088;5;6219047;GLM;SVs, SVs+SNPs;SV;-41;-;0.497;5.50357E-09;-0.121440549;-;-;-;No
DEL:5:6221991..6222566;5;6221991;GLM;SVs, SVs+SNPs;SV;-575;-;0.491;1.70854E-14;-0.179418725;-;-;-;No
INS:5:6227208..6227208;5;6227208;GLM;SVs, SVs+SNPs;SV;2849;Os0850_LTR;0.491;1.70854E-14;-0.179418725;-;-;-;No
SNP:5:6231056;5;6231056;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.64257E-14;-0.1733348;-;-;-;No
INS:5:6239238..6239238;5;6239238;GLM;SVs, SVs+SNPs;SV;368;Os0007_Castaway;0.491;1.70854E-14;-0.179418725;Os05g0200100 (OsTrx19);chr05:6233918..6237913 (- strand);Upstream;No
SNP:5:6239975;5;6239975;GLM;SNPs, SVs+SNPs;SNP;1;-;0.528;1.859E-10;-0.144384689;Os05g0200160 (Hypothetical);chr05:6240164..6240665 (+ strand);Upstream;No
SNP:5:6243769;5;6243769;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;5.29E-11;-0.165263334;-;-;-;No
SNP:5:6253400;5;6253400;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.12E-09;-0.136316624;Os05g0200280 (Similar to prenylated rab acceptor family protein);chr05:6255334..6257922 (- strand);Downstream;No
SNP:5:6259111;5;6259111;GLM;SNPs;SNP;1;-;0.454;9.00273E-11;0.155563578;Os05g0200280 (Similar to prenylated rab acceptor family protein);chr05:6255334..6257922 (- strand);Upstream;No
INS:5:6264234..6264234;5;6264234;GLM;SVs, SVs+SNPs;SV;40;-;0.497;1.17581E-14;-0.183378404;-;-;-;No
SNP:5:6264380;5;6264380;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;3.04048E-13;-0.175787586;-;-;-;No
INS:5:6268704..6268704;5;6268704;GLM;SVs, SVs+SNPs;SV;427;Os0625_mPing;0.368;2.16394E-13;0.162990535;"Os05g0200340 (hypothetical); Os05g0200400 (OsCYP90D5)";"chr05:6267638..6268798 (- strand); chr05:6267735..6273104 (+ strand)";"5' UTR; Upstream";No
SNP:5:6271408;5;6271408;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;2.16822E-12;0.160274962;-;-;-;No
SNP:5:6284466;5;6284466;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;9.22862E-11;-0.153075208;Os05g0200500 (Similar to Casein kinase-like protein);chr05:6273311..6282541 (- strand);Upstream;No
SNP:5:6288974;5;6288974;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.44731E-11;0.152295047;-;-;-;No
SNP:5:6297130;5;6297130;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;1.52045E-10;-0.143364971;-;-;-;No
INS:5:6302265..6302265;5;6302265;GLM;SVs, SVs+SNPs;SV;593;-;0.497;1.17581E-14;-0.183378404;-;-;-;No
SNP:5:6305518;5;6305518;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;6.84E-14;0.166061531;-;-;-;No
INS:5:6305664..6305664;5;6305664;GLM;SVs, SVs+SNPs;SV;56;-;0.497;1.17581E-14;-0.183378404;-;-;-;No
SNP:5:6308747;5;6308747;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;2E-13;0.175764817;Os05g0201333 (Hypothetical);chr05:6309428..6309805 (+ strand);Upstream;No
SNP:5:6312216;5;6312216;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;1.79207E-13;0.164904963;-;-;-;No
SNP:5:6316943;5;6316943;GLM;SNPs, SVs+SNPs;SNP;1;-;0.515;1.06E-11;0.159506662;-;-;-;No
SNP:5:6320673;5;6320673;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;2.89E-11;-0.161848732;-;-;-;No
SNP:5:6330318;5;6330318;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;3.57E-11;0.147542945;-;-;-;No
SNP:5:6336803;5;6336803;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;1.19E-10;0.168723678;-;-;-;No
DEL:5:6338285..6340057;5;6338285;GLM;SVs, SVs+SNPs;SV;-1772;-;0.491;1.70854E-14;-0.179418725;-;-;-;No
SNP:5:6343079;5;6343079;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;2.31E-10;0.144621616;Os05g0202200 (Hypothetical);chr05:6344746..6345363 (+ strand);Upstream;No
DEL:5:6346253..6346299;5;6346253;GLM;SVs, SVs+SNPs;SV;-46;-;0.491;1.70854E-14;-0.179418725;Os05g0202200 (hypothetical);chr05:6344746..6345363 (+ strand);Downstream;No
SNP:5:6346706;5;6346706;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;4.13063E-15;0.178624672;Os05g0202200 (Hypothetical);chr05:6344746..6345363 (+ strand);Downstream;No
SNP:5:6354092;5;6354092;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;3.25E-12;0.152227667;-;-;-;No
SNP:5:6365256;5;6365256;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;9.96E-10;-0.131818825;Os05g0202500 (Conserved hypothetical);chr05:6359965..6363348 (- strand);Upstream;No
SNP:5:6370464;5;6370464;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;7.83E-13;0.160754533;-;-;-;No
SNP:5:6372176;5;6372176;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;8.75E-12;0.163002852;-;-;-;No
SNP:5:6375275;5;6375275;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;3.12E-13;0.148052828;Os05g0202550 (Conserved hypothetical);chr05:6376518..6379391 (- strand);Downstream;No
SNP:5:6382031;5;6382031;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;3.58285E-11;0.157925956;Os05g0202600 (DUF 1677);chr05:6380423..6380983 (+ strand);Downstream;No
SNP:5:6385618;5;6385618;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;2.33E-12;0.153728895;-;-;-;No
INS:5:6386827..6386827;5;6386827;GLM;SVs, SVs+SNPs;SV;86;-;0.497;1.17581E-14;-0.183378404;-;-;-;No
SNP:5:6388857;5;6388857;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;2.22E-10;0.127615818;-;-;-;No
DEL:5:6394366..6395345;5;6394366;GLM;SVs, SVs+SNPs;SV;-979;Os0076_LTR;0.417;3.47139E-09;-0.129110509;Os05g0202800(OsMT3b);chr05:6393899..6396069 (+ strand);1st intron;No
SNP:5:6398293;5;6398293;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.33E-12;0.159767076;-;-;-;No
SNP:5:6427633;5;6427633;GLM;SVs+SNPs;SNP;1;-;0.399;1.83E-08;-0.112197499;-;-;-;No
SNP:5:6430927;5;6430927;GLM;SNPs, SVs+SNPs;SNP;1;-;0.227;1.7E-11;-0.157259547;-;-;-;No
SNP:5:6472594;5;6472594;GLM;SNPs, SVs+SNPs;SNP;1;-;0.27;1.24E-10;-0.129028447;"Os05g0203900 (Conserved hyptohetical); Os05g0203912 (Similar to Histone deacetylase)";"chr05:6468141..6476455 (- strand); chr05:6470985..6472028 (+ strand)";"2nd intron; Downstream";No
SNP:5:6492449;5;6492449;GLM;SNPs, SVs+SNPs;SNP;1;-;0.436;2.64E-08;0.127883668;-;-;-;No
SNP:5:6499090;5;6499090;GLM;SNPs, SVs+SNPs;SNP;1;-;0.264;2.56382E-11;-0.156807915;Os05g0204163 (Conserved hypothetical);chr05:6497932..6498388 (- strand);Upstream;No
SNP:5:6500287;5;6500287;GLM;SVs+SNPs;SNP;1;-;0.436;4.06E-09;-0.114;Os05g0204163 (Conserved hypothetical);chr05:6497932..6498388 (- strand);Upstream;No
SNP:5:6528181;5;6528181;GLM;SNPs;SNP;1;-;0.294;2.46777E-07;-0.109943162;Os05g0204900 (OsPP74);chr05:6529795..6537307 (+ strand);Upstream;No
SNP:5:6560598;5;6560598;GLM;SNPs, SVs+SNPs;SNP;1;-;0.276;1.07158E-07;-0.117343695;Os05g0205400 (OsCEP12/OsCEP7);chr05:6559752..6560051 (+ strand);Downstream;No
SNP:5:6575911;5;6575911;GLM;SNPs;SNP;1;-;0.276;4.22648E-08;-0.120620835;Os05g0206000 (OsCEP14/OsCEP9);chr05:6576138..6576687 (+ strand);Upstream;No
INS:5:6605999..6605999;5;6605999;GLM;SVs+SNPs;SV;117;-;0.27;1.29449E-07;-0.1164887;Os05g0206800 (hypothetical);chr05:6606211..6607490 (+ strand);Upstream;No
DEL:5:6619859..6619912;5;6619859;GLM;SVs+SNPs;SV;-53;-;0.27;1.29449E-07;-0.1164887;-;-;-;No
SNP:5:6631051;5;6631051;GLM;SNPs;SNP;1;-;0.331;1.25487E-07;-0.114561532;-;-;-;No
SNP:5:6633933;5;6633933;GLM;SNPs;SNP;1;-;0.276;1.72965E-08;-0.12114167;-;-;-;No
INS:5:6646529..6646529;5;6646529;GLM;SVs+SNPs;SV;54;-;0.27;1.29449E-07;-0.1164887;Os05g0207200 (OsDEK43/OsPPR5);chr05:6646893..6648344 (+ strand);Upstream;No
DEL:5:6651932..6652322;5;6651932;GLM;SVs+SNPs;SV;-390;OS1127;0.27;1.29449E-07;-0.1164887;"Os05g0207300 (OsRPL5); Os05g0207350 (hypothetical); Os05g0207400 (OsRING396)";"chr05:6649558..6651815 (+ strand); chr05:6649773..6651625 (- strand); chr05:6652760..6656383 (- strand)";"Downstream; Upstream; Downtream";No
SNP:5:6655461;5;6655461;GLM;SNPs;SNP;1;-;0.441;4.26276E-09;0.14929396;Os05g0207400 (OsRING396);chr05:6652760..6656383 (- strand);1st intron;No
SNP:5:6658059;5;6658059;GLM;SNPs;SNP;1;-;0.288;1.36121E-08;-0.123101751;Os05g0207500 (OsGSK2);chr05:6657481..6661493 (- strand);12th exon;No
SNP:5:6705569;5;6705569;GLM;SVs+SNPs;SNP;1;-;0.288;6.44957E-08;-0.118874764;-;-;-;No
SNP:5:6714598;5;6714598;GLM;SNPs;SNP;1;-;0.27;2.7913E-07;-0.109676387;-;-;-;No
DEL:5:6715995..6717741;5;6715995;GLM;SVs+SNPs;SV;-1746;-;0.27;1.90455E-07;-0.115139817;-;-;-;No
SNP:5:6729459;5;6729459;GLM;SNPs, SVs+SNPs;SNP;1;-;0.301;1.34E-08;-0.122;Os05g0208600 (Myb/SANT-like domain domain containing protein);chr05:6729957..6733304 (+ strand);Upstream;No
SNP:5:6737454;5;6737454;GLM;SNPs;SNP;1;-;0.288;1.53733E-07;-0.116100553;-;-;-;No
SNP:5:6804435;5;6804435;GLM;SNPs;SNP;1;-;0.264;3.64913E-07;-0.111702591;-;-;-;No
SNP:5:13238438;5;13238438;GLM;SVs+SNPs;SNP;1;-;0.393;6.21E-08;-0.121;-;-;-;No
INS:5:20033353..20033353;5;20033353;GLM;SVs+SNPs;SV;2721;Os0850_LTR;0.331;1.07942E-07;-0.134901607;-;-;-;Yes
SNP:5:23313711;5;23313711;GLM;SNPs;SNP;1;-;0.301;1.00506E-08;-0.142849939;Os05g0474800 (OsWRKY70);chr05:23310508..23313449 (- strand);Upstream;Yes
SNP:5:23450889;5;23450889;GLM;SVs+SNPs;SNP;1;-;0.454;5.00777E-08;0.134827046;-;-;-;Yes
SNP:5:23498756;5;23498756;GLM;SNPs, SVs+SNPs;SNP;1;-;0.442;1.68576E-07;0.134122828;"Os05g0477600 (OsEXPA4); Os05g0477666 (Hypothetical)";"chr05:23495654..23497572 (- strand); chr05:23496145..23497251 (+ strand)";"Upstream; Downstream";Yes
INS:5:23499086..23499086;5;23499086;GLM;SVs;SV;351;Os0015;0.448;1.89049E-07;0.118917222;"Os05g0477600 (OsEXPA4); Os05g0477666 (hypothetical)";"chr05:23495654..23497572 (- strand); chr05:23496145..23497251 (+ strand)";"Upstream; Downstream";Yes
SNP:5:23512915;5;23512915;GLM;SVs+SNPs;SNP;1;-;0.448;0.000000224;0.136;Os05g0478000 (OsRING69);chr05:23510183..23511070 (+ strand);Downstream;Yes
SNP:5:23523929;5;23523929;GLM;SNPs, SVs+SNPs;SNP;1;-;0.454;1.09E-08;0.121486448;"Os05g0478250 (Hyptohetical); Os05g0478300 (LRR-receptor-like kinase)";"chr05:23524138..23524982 (- strand); chr05:23523946..23527540 (+ strand)";"Downstream; Upstream";Yes
INS:5:23531874..23531874;5;23531874;GLM;SVs;SV;13332;-;0.46;5.73636E-07;0.108127418;Os05g0478400 (OsWRKY48);chr05:23529423..23530499 (- strand);Upstream;Yes
SNP:5:23837783;5;23837783;GLM;SVs+SNPs;SNP;1;-;0.417;3.59E-08;0.127681873;Os05g0485000 (OsCHX16);chr05:23839410..23842483 (- strand);Downstream;Yes
SNP:5:23880401;5;23880401;GLM;SVs+SNPs;SNP;1;-;0.417;0.000000182;0.128;-;-;-;Yes
SNP:5:24901739;5;24901739;GLM;SVs+SNPs;SNP;1;-;0.454;4.55E-08;-0.120207287;-;-;-;Yes
SNP:5:24990155;5;24990155;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;1.98074E-07;-0.117892018;Os05g0505900 (OsCLE507);chr05:24987033..24989544 (- strand);Upstream;Yes
SNP:5:25001887;5;25001887;GLM;SNPs, SVs+SNPs;SNP;1;-;0.429;1.11E-08;-0.130614362;-;-;-;Yes
SNP:5:25017181;5;25017181;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;5.46E-11;-0.118826674;-;;-;Yes
SNP:5:25061626;5;25061626;GLM;SNPs, SVs+SNPs;SNP;1;-;0.466;2.52E-08;-0.127453909;Os05g0507400 (Conserved hypothetical);chr05:25063389..25064011 (+ strand);Upstream;Yes
SNP:5:25068681;5;25068681;GLM;SNPs;SNP;1;-;0.454;1.1162E-07;-0.120765864;-;-;-;Yes
SNP:5:25088383;5;25088383;GLM;SNPs, SVs+SNPs;SNP;1;-;0.448;8.02E-09;-0.126012554;-;-;-;Yes
SNP:5:25113738;5;25113738;GLM;SNPs, SVs+SNPs;SNP;1;-;0.178;5.95011E-08;-0.13585487;-;-;-;Yes
SNP:5:25309171;5;25309171;GLM;SNPs, SVs+SNPs;SNP;1;-;0.147;4.08781E-08;-0.163807317;-;-;-;Yes
SNP:5:25513677;5;25513677;GLM;SNPs, SVs+SNPs;SNP;1;-;0.16;1.07E-08;-0.15962;Os05g0514600 (OsGA2ox-4/OsSBI);chr05:25514447..25516258 (-strand);Downstream;Yes
SNP:5:25521831;5;25521831;GLM;SNPs, SVs+SNPs;SNP;1;-;0.454;2.5764E-08;-0.125990047;-;-;-;Yes
SNP:5:25539882;5;25539882;GLM;SNPs;SNP;1;-;0.472;1.12156E-07;-0.12330536;-;-;-;Yes
DEL:5:25541952..25542156;5;25541952;GLM;SVs+SNPs;SV;-204;-;0.472;1.42691E-08;-0.139607646;Os05g0515200 (OsCYP71R1);chr05:25543222..25546408 (+ strand);Upstream;Yes
SNP:5:25571027;5;25571027;GLM;SNPs;SNP;1;-;0.46;1.19158E-07;-0.138044818;Os05g0515600 (OsCOMT9/OsASMT4/ZRP4);chr05:25569090..25570887 (- strand);Upstream;Yes
SNP:5:25702330;5;25702330;GLM;SNPs, SVs+SNPs;SNP;1;-;0.436;6.56E-09;-0.142766701;-;-;-;Yes
SNP:5:25962297;5;25962297;GLM;SVs+SNPs;SNP;1;-;0.46;0.000000167;-0.12676;"Os05g0521900 (Similar to IQ calmodulin-binding motif family protein); Os05g0521950 (Hypothetical)";"chr05:25962545..25964535 (- strand); chr05:25962558..25963784 (+ strand)";"Downstream; Upstream";Yes
